year,sockeye,coho,pink,chum,area
1900,2049011.00,297555.00,4321349.00,32952.00,southeast
1901,1363825.00,281440.00,7525090.00,NA,southeast
1902,2076647.00,235461.00,8100699.00,NA,southeast
1903,2060581.00,653569.00,5528547.00,NA,southeast
1904,3416470.00,517856.00,5178207.00,358378.00,southeast
1905,2610549.00,398981.00,3060358.00,1660981.00,southeast
1906,2620860.00,659220.00,7036374.00,1374459.00,southeast
1907,2201071.00,502646.00,11973899.00,1354929.00,southeast
1908,2544671.00,457860.00,13592326.00,1824637.00,southeast
1909,2791461.00,332376.00,9497508.00,699381.00,southeast
1910,2986886.00,646065.00,9425310.00,1996840.00,southeast
1911,2896988.00,901838.00,21408907.00,2784721.00,southeast
1912,3018060.00,1099442.00,22011191.00,5342331.00,southeast
1913,2218591.00,577189.00,25295606.00,2459777.00,southeast
1914,3501203.00,914809.00,12567376.00,5444154.00,southeast
1915,2825543.00,870535.00,30351380.00,3593040.00,southeast
1916,2381350.00,1587607.00,19940350.00,4741634.00,southeast
1917,2622899.00,1469396.00,40327465.00,6851774.00,southeast
1918,2821198.00,1629366.00,39287711.00,9352573.00,southeast
1919,3262799.00,1804055.00,24330891.00,9268489.00,southeast
1920,2743624.00,1148051.00,18121431.00,8613368.00,southeast
1921,1498933.00,911568.00,7735444.00,1846832.00,southeast
1922,1900123.00,1258885.00,24001889.00,3728616.00,southeast
1923,2410357.00,1342071.00,39879249.00,3912562.00,southeast
1924,2506115.00,1214898.00,30029343.00,7266500.00,southeast
1925,1843518.00,1211862.00,28246398.00,8188085.00,southeast
1926,2044708.00,1184658.00,32193383.00,6105808.00,southeast
1927,1444563.00,1284537.00,8163332.00,2219770.00,southeast
1928,1350871.00,2159409.00,36051196.00,4871346.00,southeast
1929,1901461.00,1368442.00,21848494.00,2626905.00,southeast
1930,2587439.00,1998507.00,43483232.00,2708504.00,southeast
1931,1823085.00,1152099.00,27243530.00,2850746.00,southeast
1932,1652065.00,1389406.00,22605600.00,5593734.00,southeast
1933,1010460.00,1223081.00,25783195.00,4547402.00,southeast
1934,1241883.00,1956014.00,50327890.00,3805510.00,southeast
1935,1892836.00,1759654.00,30247606.00,5083541.00,southeast
1936,2403397.00,1799813.00,50747387.00,7605896.00,southeast
1937,2187191.00,1399754.00,35166387.00,5556010.00,southeast
1938,2535417.00,2199625.00,30288240.00,4556394.00,southeast
1939,2487146.00,1122183.00,23721956.00,3388759.00,southeast
1940,1507340.00,1838309.00,29093692.00,4624767.00,southeast
1941,1674412.00,2515069.00,60061213.00,2959482.00,southeast
1942,1566489.00,2211103.00,33127200.00,5441724.00,southeast
1943,1123759.00,1680198.00,18038752.00,6833316.00,southeast
1944,1722276.00,1306203.00,19344068.00,6881172.00,southeast
1945,1683289.00,2587615.00,21654516.00,3318481.00,southeast
1946,888241.00,2366848.00,24821810.00,4010237.00,southeast
1947,746170.00,1546079.00,14041563.00,3360303.00,southeast
1948,524525.00,2145853.00,14352448.00,4004499.00,southeast
1949,489799.00,2279890.00,43920676.00,2894344.00,southeast
1950,552202.00,1651905.00,9423824.00,4778742.00,southeast
1951,819621.00,3310226.00,22220113.00,4123010.00,southeast
1952,919316.00,1743753.00,9802657.00,4178549.00,southeast
1953,1376454.00,1163581.00,4981409.00,3541901.00,southeast
1954,1220157.00,1770807.00,8909481.00,4243671.00,southeast
1955,747330.00,1338477.00,9333972.00,1528202.00,southeast
1956,914778.00,916542.00,13728271.00,2701261.00,southeast
1957,1071257.00,1218479.00,6857895.00,3413051.00,southeast
1958,1008235.00,955349.00,9837907.00,2787025.00,southeast
1959,890638.00,1024390.00,7851298.00,1291409.00,southeast
1960,588288.00,720808.00,2985021.00,1019152.00,southeast
1961,744484.00,889419.00,12637503.00,2559269.00,southeast
1962,772236.00,1222549.00,11585176.00,1996383.00,southeast
1963,677921.00,1274508.00,19145299.00,1478744.00,southeast
1964,923923.00,1587910.00,18581462.00,1936151.00,southeast
1965,1085318.00,1548265.00,10879934.00,1473867.00,southeast
1966,1054119.00,1227305.00,20438170.00,3273157.00,southeast
1967,971541.00,866226.00,3111251.00,1810412.00,southeast
1968,830775.00,1543095.00,25085399.00,2644259.00,southeast
1969,811576.00,596490.00,4869865.00,561418.00,southeast
1970,667908.00,758667.00,10657030.00,2445686.00,southeast
1971,623252.00,914382.00,9344805.00,1946102.00,southeast
1972,916720.00,1508534.00,12399784.00,2942365.00,southeast
1973,1011453.00,836348.00,6455162.00,1832173.00,southeast
1974,687398.00,1278179.00,4888753.00,1682603.00,southeast
1975,245191.00,427357.00,4026520.00,686615.00,southeast
1976,595259.00,823662.00,5329565.00,1030877.00,southeast
1977,1085143.00,944750.00,13843562.00,738723.00,southeast
1978,788319.00,1714508.00,21243378.00,868963.00,southeast
1979,1073885.00,1284635.00,10977908.00,888276.00,southeast
1980,1120416.00,1136685.00,14478306.00,1651187.00,southeast
1981,1079625.00,1406846.00,18967933.00,849692.00,southeast
1982,1489963.00,2043945.00,24190239.00,1329338.00,southeast
1983,1556536.00,1933897.00,37524005.00,1168287.00,southeast
1984,1213841.00,1843671.00,24630557.00,4089894.00,southeast
1985,1861462.00,2563864.00,51960425.00,3273189.00,southeast
1986,1442298.00,3403962.00,46156323.00,3359131.00,southeast
1987,1377707.00,1543119.00,10281145.00,2721509.00,southeast
1988,1460358.00,1046387.00,11206533.00,3533109.00,southeast
1989,2124840.00,2204044.00,59460203.00,1968894.00,southeast
